,0,1,2,3
0,Gonzaga,118.4,86.3,32.1
1,Villanova,122.4,92.5,29.9
2,North Carolina,120.7,92.5,28.2
3,Kentucky,119.1,91.4,27.7
4,Florida,116.9,89.4,27.5
5,Kansas,122.0,94.5,27.5
6,West Virginia,116.5,89.4,27.1
7,Wichita St.,118.7,92.6,26.1
8,Louisville,117.2,91.7,25.5
9,Oregon,118.2,93.2,25.0
10,SMU,119.8,95.0,24.8
11,Virginia,112.2,87.9,24.3
12,Baylor,117.1,92.9,24.2
13,Duke,121.0,96.9,24.1
14,Saint Mary's,118.7,95.0,23.7
15,UCLA,124.0,100.4,23.6
16,Iowa St.,119.7,96.3,23.4
17,Arizona,118.4,95.1,23.3
18,Purdue,116.9,93.8,23.1
19,Michigan,122.3,99.3,23.0
20,Wisconsin,115.1,92.1,23.0
21,Oklahoma St.,126.0,103.5,22.5
22,Cincinnati,115.0,92.8,22.2
23,South Carolina,108.9,88.1,20.8
24,Butler,117.7,97.0,20.7
25,Florida St.,115.5,95.4,20.1
26,Notre Dame,118.1,98.4,19.7
27,Creighton,115.3,96.5,18.8
28,TCU,114.5,97.0,17.5
29,Kansas St.,113.0,95.6,17.4
30,Xavier,115.8,99.1,16.7
31,Marquette,120.8,104.2,16.6
32,Vanderbilt,112.4,95.9,16.5
33,Rhode Island,111.5,95.2,16.3
34,Arkansas,116.1,99.8,16.3
35,Wake Forest,120.9,104.6,16.3
36,Minnesota,109.7,93.7,16.0
37,Northwestern,111.3,95.5,15.8
38,Dayton,111.9,96.3,15.6
39,Michigan St.,111.4,95.9,15.5
40,Texas Tech,112.6,97.4,15.2
41,Miami FL,109.9,94.8,15.1
42,Middle Tennessee,112.2,97.3,14.9
43,Indiana,116.1,101.6,14.5
44,Clemson,114.9,100.5,14.4
45,Maryland,113.1,98.8,14.3
46,Utah,113.5,99.3,14.2
47,VCU,110.1,96.0,14.1
48,Illinois St.,107.6,93.6,14.0
49,Virginia Tech,117.4,103.6,13.8
50,Seton Hall,109.5,95.8,13.7
51,Houston,113.5,99.9,13.6
52,USC,114.2,100.7,13.5
53,Nevada,114.7,101.3,13.4
54,Syracuse,115.6,102.3,13.3
55,Alabama,105.3,92.2,13.1
56,Tennessee,110.1,97.5,12.6
57,Princeton,109.1,96.4,12.7
58,UNC Wilmington,118.0,105.6,12.4
59,Providence,108.5,96.1,12.4
60,Georgia,108.7,96.4,12.3
61,California,104.9,92.7,12.2
62,Vermont,111.0,99.4,11.6
63,Texas A&M;,108.8,97.3,11.5
64,Oklahoma,107.4,95.9,11.5
65,Illinois,107.2,95.9,11.3
66,East Tennessee St.,108.0,96.9,11.1
67,UCF,104.1,93.2,10.9
68,Georgetown,108.4,97.7,10.7
69,Texas,104.2,93.7,10.5
70,Iowa,113.0,102.6,10.4
71,Colorado,112.6,102.3,10.3
72,Ohio St.,111.1,100.9,10.2
73,Mississippi,111.1,100.9,10.2
74,UT Arlington,110.7,100.9,9.8
75,Bucknell,109.7,100.3,9.4
76,Georgia Tech,100.0,91.0,9.0
77,San Diego St.,104.1,95.1,9.0
78,Pittsburgh,112.4,103.7,8.7
79,BYU,109.1,100.5,8.6
80,Monmouth,109.2,100.5,8.7
81,Auburn,111.9,103.3,8.6
82,Belmont,110.9,102.7,8.2
83,New Mexico St.,110.5,102.6,7.9
84,Davidson,108.5,100.8,7.7
85,Colorado St.,108.5,100.9,7.6
86,Penn St.,104.5,97.2,7.3
87,Mississippi St.,106.6,99.3,7.3
88,College of Charleston,106.2,98.9,7.3
89,Cal St. Bakersfield,100.9,93.7,7.2
90,St. Bonaventure,109.0,101.8,7.2
91,Richmond,110.0,102.8,7.2
92,Louisiana Tech,107.9,100.9,7.0
93,Boise St.,109.2,102.2,7.0
94,Saint Peter's,102.6,95.9,6.7
95,Connecticut,105.2,98.7,6.5
96,Loyola Chicago,108.9,102.4,6.5
97,Fresno St.,104.5,98.2,6.3
98,St. John's,109.0,102.7,6.3
99,Akron,112.6,106.5,6.1
100,Memphis,106.9,100.9,6.0
101,Stanford,104.8,98.9,5.9
